año,pob_1,pob_2,pob_3,pob_9,pob_4,pob_7,pob_8,pob_5,pob_6,pob_10,pob_total,pob_11,pob_12,pob_13,pob_14,pob_16,pob_17,pob_15,pob_18,pob_19,pob_20,pob_21,pob_22,pob_23,pob_24,pob_25,pob_26,pob_27,pob_28,pob_29,pob_30,pob_31,pob_32
2009m11,802864.4667,2202640.7,445629.6667,6705613.4,577196.5,3079555.7,2313707.433,1905799.467,462468.8667,1104896.233,78102643.47,3729296.867,2234663.8,1844808.533,5106160.933,2984393.933,1255979.333,10588946,758230.1,3317965.567,2581064.967,3909298.8,1262389.333,916607.9,1769476.733,1961965.267,1865768.167,1536985.833,2257392.6,803211.8333,5397095.367,1402877.7,1017691.6
2009m12,804795.7333,2209199.85,447423.3333,6710564.7,578355.25,3087344.35,2317115.717,1909527.733,463785.9333,1106844.617,78262989.73,3738664.433,2239619.9,1849629.267,5116878.967,2990907.467,1259126.667,10612173,760239.55,3324564.283,2586515.483,3916722.4,1266160.167,920731.45,1772715.367,1965688.633,1870077.583,1540540.917,2260811.3,804835.4167,5406375.683,1405469.35,1019585.3
2010m1,806727,2215759,449217,6715516,579514,3095133,2320524,1913256,465103,1108793,78423336,3748032,2244576,1854450,5127597,2997421,1262274,10635400,762249,3331163,2591966,3924146,1269931,924855,1775954,1969412,1874387,1544096,2264230,806459,5415656,1408061,1021479
2010m2,808658.2667,2222318.15,451010.6667,6720467.3,580672.75,3102921.65,2323932.283,1916984.267,466420.0667,1110741.383,78583682.27,3757399.567,2249532.1,1859270.733,5138315.033,3003934.533,1265421.333,10658627,764258.45,3337761.717,2597416.517,3931569.6,1273701.833,928978.55,1779192.633,1973135.367,1878696.417,1547651.083,2267648.7,808082.5833,5424936.317,1410652.65,1023372.7
2010m3,810589.5333,2228877.3,452804.3333,6725418.6,581831.5,3110710.3,2327340.567,1920712.533,467737.1333,1112689.767,78744028.53,3766767.133,2254488.2,1864091.467,5149033.067,3010448.067,1268568.667,10681854,766267.9,3344360.433,2602867.033,3938993.2,1277472.667,933102.1,1782431.267,1976858.733,1883005.833,1551206.167,2271067.4,809706.1667,5434216.633,1413244.3,1025266.4
2010m4,812520.8,2235436.45,454598,6730369.9,582990.25,3118498.95,2330748.85,1924440.8,469054.2,1114638.15,78904374.8,3776134.7,2259444.3,1868912.2,5159751.1,3016961.6,1271716,10705081,768277.35,3350959.15,2608317.55,3946416.8,1281243.5,937225.65,1785669.9,1980582.1,1887315.25,1554761.25,2274486.1,811329.75,5443496.95,1415835.95,1027160.1
2010m5,814452.0667,2241995.6,456391.6667,6735321.2,584149,3126287.6,2334157.133,1928169.067,470371.2667,1116586.533,79064721.07,3785502.267,2264400.4,1873732.933,5170469.133,3023475.133,1274863.333,10728308,770286.8,3357557.867,2613768.067,3953840.4,1285014.333,941349.2,1788908.533,1984305.467,1891624.667,1558316.333,2277904.8,812953.3333,5452777.267,1418427.6,1029053.8
2010m6,816383.3333,2248554.75,458185.3333,6740272.5,585307.75,3134076.25,2337565.417,1931897.333,471688.3333,1118534.917,79225067.33,3794869.833,2269356.5,1878553.667,5181187.167,3029988.667,1278010.667,10751535,772296.25,3364156.583,2619218.583,3961264,1288785.167,945472.75,1792147.167,1988028.833,1895934.083,1561871.417,2281323.5,814576.9167,5462057.583,1421019.25,1030947.5
2010m7,818314.6,2255113.9,459979,6745223.8,586466.5,3141864.9,2340973.7,1935625.6,473005.4,1120483.3,79385413.6,3804237.4,2274312.6,1883374.4,5191905.2,3036502.2,1281158,10774762,774305.7,3370755.3,2624669.1,3968687.6,1292556,949596.3,1795385.8,1991752.2,1900243.5,1565426.5,2284742.2,816200.5,5471337.9,1423610.9,1032841.2
2010m8,820245.8667,2261673.05,461772.6667,6750175.1,587625.25,3149653.55,2344381.983,1939353.867,474322.4667,1122431.683,79545759.87,3813604.967,2279268.7,1888195.133,5202623.233,3043015.733,1284305.333,10797989,776315.15,3377354.017,2630119.617,3976111.2,1296326.833,953719.85,1798624.433,1995475.567,1904552.917,1568981.583,2288160.9,817824.0833,5480618.217,1426202.55,1034734.9
